"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.63","43.68","TORONTO INTL A","6158731","2025-01-19","2025","01","19","","-5.9","","-11.1","","-8.5","","26.5","","0.0","","0.0","","0.6","","0.6","","0","T","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2025-01-20","2025","01","20","","-9.8","","-14.3","","-12.1","","30.1","","0.0","","0.0","","0.2","","0.2","","1","","26","","61",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-01-21","2025","01","21","","-10.6","","-17.1","","-13.9","","31.9","","0.0","","0.0","","0.0","","0.0","","1","","25","","49",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-01-22","2025","01","22","","-9.4","","-18.5","","-14.0","","32.0","","0.0","","0.0","","0.4","","0.4","","0","T","21","","42",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-01-23","2025","01","23","","-3.9","","-9.5","","-6.7","","24.7","","0.0","","0.0","","0.0","T","0.0","T","1","","25","","39",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-01-24","2025","01","24","","-3.7","","-10.1","","-6.9","","24.9","","0.0","","0.0","","0.0","T","0.0","T","0","T","25","","34",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-01-25","2025","01","25","","-1.0","","-9.2","","-5.1","","23.1","","0.0","","0.0","","0.0","T","0.0","T","0","T","25","","51",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-01-26","2025","01","26","","0.3","","-6.2","","-3.0","","21.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","26","","50",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-01-27","2025","01","27","","1.4","","-6.5","","-2.6","","20.6","","0.0","","0.0","","0.6","","0.6","","0","T","22","","67",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-01-28","2025","01","28","","2.4","","-11.8","","-4.7","","22.7","","0.0","","0.0","","5.2","","4.8","","1","","33","","63",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-01-29","2025","01","29","","2.5","","-9.0","","-3.3","","21.3","","0.0","","0.6","","0.0","T","0.6","","5","","31","","71",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-01-30","2025","01","30","","-0.3","","-9.1","","-4.7","","22.7","","0.0","","0.0","","0.0","","0.0","","4","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2025-01-31","2025","01","31","","1.8","","-10.3","","-4.3","","22.3","","0.0","","0.0","","0.0","T","0.0","T","3","","34","","59",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-01","2025","02","01","","-8.6","","-14.0","","-11.3","","29.3","","0.0","","0.0","","0.0","","0.0","","2","","35","","59",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-02","2025","02","02","","-3.7","","-11.8","","-7.8","","25.8","","0.0","","0.0","","1.0","","1.0","","2","","11","","38",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-03","2025","02","03","","1.7","","-4.2","","-1.3","","19.3","","0.0","","0.4","","0.8","","1.2","","3","","31","","39",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-04","2025","02","04","","-1.2","","-9.7","","-5.5","","23.5","","0.0","","0.0","","0.0","T","0.0","T","3","E","31","","58",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-05","2025","02","05","","-4.6","","-10.2","","-7.4","","25.4","","0.0","","0.0","","0.0","","0.0","","2","","10","","34",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-06","2025","02","06","","0.6","","-4.8","","-2.1","","20.1","","0.0","","0.4","","2.8","","3.2","","3","","26","","85",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-07","2025","02","07","","-2.3","","-8.4","","-5.4","","23.4","","0.0","","0.0","","0.0","T","0.0","T","3","","29","","66",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-08","2025","02","08","","-2.2","","-9.2","","-5.7","","23.7","","0.0","","0.0","","12.6","","9.2","","3","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-09","2025","02","09","","0.1","","-6.3","","-3.1","","21.1","","0.0","","0.0","","2.8","","2.8","","16","","27","","49",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-10","2025","02","10","","-3.2","","-11.0","","-7.1","","25.1","","0.0","","0.0","","0.0","T","0.0","T","14","","28","","48",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-11","2025","02","11","","-2.2","","-12.4","","-7.3","","25.3","","0.0","","0.0","","0.0","T","0.0","T","12","","1","","33",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-12","2025","02","12","","-4.8","","-9.1","","-7.0","","25.0","","0.0","","0.0","","14.0","","11.2","","10","","9","","46",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-13","2025","02","13","","-2.6","","-8.9","","-5.8","","23.8","","0.0","","0.0","","12.4","","12.4","","33","","28","","58",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-14","2025","02","14","","-4.5","","-8.6","","-6.6","","24.6","","0.0","","0.0","","0.0","","0.0","","32","","25","","40",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-15","2025","02","15","","-1.9","","-6.8","","-4.4","","22.4","","0.0","","0.0","","8.0","","7.8","","28","","10","","37",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-16","2025","02","16","","-4.9","","-9.6","","-7.3","","25.3","","0.0","","0.4","","17.0","","17.4","","37","","29","","50",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-17","2025","02","17","","-7.0","","-13.5","","-10.3","","28.3","","0.0","","0.0","","0.0","T","0.0","T","50","","27","","68",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-18","2025","02","18","","-6.9","","-14.0","","-10.5","","28.5","","0.0","","0.0","","0.2","","0.2","","48","","27","","64",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-19","2025","02","19","","-6.5","","-12.2","","-9.4","","27.4","","0.0","","0.0","","0.6","","0.6","","46","","25","","40",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-20","2025","02","20","","-7.4","","-11.6","","-9.5","","27.5","","0.0","","0.0","","1.2","","1.2","","45","","32","","39",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-21","2025","02","21","","-5.8","","-12.8","","-9.3","","27.3","","0.0","","0.0","","0.0","T","0.0","T","45","","30","","37",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-22","2025","02","22","","-1.6","","-8.4","","-5.0","","23.0","","0.0","","0.0","","0.0","T","0.0","T","45","","24","","44",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-23","2025","02","23","","0.9","","-3.2","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","45","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-24","2025","02","24","","7.2","","-1.8","","2.7","","15.3","","0.0","","0.0","","0.0","","0.0","","41","","23","","75",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-25","2025","02","25","","6.7","","1.7","","4.2","","13.8","","0.0","","","M","","M","0.2","","35","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-26","2025","02","26","","5.9","","-2.6","","1.7","","16.3","","0.0","","0.0","","0.0","","0.0","","28","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-27","2025","02","27","","5.1","","-0.6","","2.3","","15.7","","0.0","","0.7","","4.6","","5.3","","25","","27","","46",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-02-28","2025","02","28","","4.4","","-4.5","","-0.1","","18.1","","0.0","","0.4","","0.2","","0.6","","14","","34","","52",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01","2025","03","01","","3.6","","-12.6","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","T","10","","29","","63",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02","2025","03","02","","-5.0","","-16.0","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","9","","33","","37",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-03","2025","03","03","","3.0","","-8.1","","-2.6","","20.6","","0.0","","0.0","","0.0","","0.0","","9","","24","","36",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-04","2025","03","04","","7.1","","-0.4","","3.4","","14.6","","0.0","","0.7","","0.0","","0.7","","9","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-05","2025","03","05","","7.2","","2.1","","4.7","","13.3","","0.0","","14.1","","0.0","","14.1","","7","","22","","50",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-06","2025","03","06","","2.9","","-3.3","","-0.2","","18.2","","0.0","","0.0","","0.0","T","0.0","T","3","","27","","72",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-07","2025","03","07","","2.4","","-2.7","","-0.2","","18.2","","0.0","","0.0","","0.0","T","0.0","T","3","","29","","67",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-08","2025","03","08","","1.4","","-5.7","","-2.2","","20.2","","0.0","","0.0","","0.0","T","0.0","T","2","","28","","56",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-09","2025","03","09","","8.0","","-3.8","","2.1","","15.9","","0.0","","0.0","","0.0","","0.0","","2","","29","","53",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-10","2025","03","10","","11.3","","-0.1","","5.6","","12.4","","0.0","","0.0","","0.0","","0.0","","1","","28","","41",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-11","2025","03","11","","12.4","","-3.3","","4.6","","13.4","","0.0","","0.0","","0.0","","0.0","","0","T","31","","54",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-12","2025","03","12","","1.5","","-4.0","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","0","T","11","","32",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-13","2025","03","13","","7.9","","-4.5","","1.7","","16.3","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-14","2025","03","14","","14.5","","-3.3","","5.6","","12.4","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-15","2025","03","15","","14.3","","2.9","","8.6","","9.4","","0.0","","4.5","","0.0","","4.5","","","","11","","35",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-16","2025","03","16","","16.7","","0.4","","8.6","","9.4","","0.0","","22.1","","0.0","","22.1","","","","27","","74",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-17","2025","03","17","","5.5","","-2.8","","1.4","","16.6","","0.0","","0.0","","0.0","T","0.0","T","","","31","","45",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-18","2025","03","18","","16.2","","-0.4","","7.9","","10.1","","0.0","","0.0","","0.0","","0.0","","","","22","","31",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-19","2025","03","19","","21.3","","3.2","","12.3","","5.7","","0.0","","0.0","","0.0","","0.0","","","","16","","33",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-20","2025","03","20","","14.4","","-0.4","","7.0","","11.0","","0.0","","1.1","","0.0","","1.1","","","","32","","71",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-21","2025","03","21","","8.7","","-3.7","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","","","22","","41",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-22","2025","03","22","","6.7","","-5.5","","0.6","","17.4","","0.0","","0.0","","0.0","T","0.0","T","","","33","","68",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-23","2025","03","23","","0.3","","-7.7","","-3.7","","21.7","","0.0","","0.0","","2.4","","2.4","","2","E","12","","41",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-24","2025","03","24","","6.7","","-0.7","","3.0","","15.0","","0.0","","0.8","","0.4","","1.2","","2","","22","","61",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-25","2025","03","25","","4.9","","-0.7","","2.1","","15.9","","0.0","","0.0","","0.0","T","0.0","T","","","27","","48",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-26","2025","03","26","","4.1","","-4.0","","0.1","","17.9","","0.0","","0.0","","0.2","","0.2","","","","31","","49",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-27","2025","03","27","","12.7","","-6.5","","3.1","","14.9","","0.0","","0.0","T","0.0","","0.0","T","","","25","","57",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-28","2025","03","28","","4.4","","0.7","","2.6","","15.4","","0.0","","2.8","","0.0","","2.8","","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-29","2025","03","29","","1.8","","-0.4","","0.7","","17.3","","0.0","","8.5","","0.0","","8.5","","","","1","","31",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-30","2025","03","30","","4.3","","-0.4","","2.0","","16.0","","0.0","","8.0","","0.0","","8.0","","","","28","","31",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-31","2025","03","31","","12.0","","0.5","","6.3","","11.7","","0.0","","0.0","","0.0","","0.0","","","","26","","59",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-01","2025","04","01","","3.7","","-1.9","","0.9","","17.1","","0.0","","0.0","","0.0","","0.0","","","","32","","44",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-02","2025","04","02","","4.7","","-1.7","","1.5","","16.5","","0.0","","25.7","","3.8","","29.5","","3","E","10","","58",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-03","2025","04","03","","20.0","","3.6","","11.8","","6.2","","0.0","","8.7","","0.0","","8.7","","","","25","","75",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-04","2025","04","04","","11.0","","0.8","","5.9","","12.1","","0.0","","0.0","T","0.0","","0.0","T","","","31","","32",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-05","2025","04","05","","10.7","","3.3","","7.0","","11.0","","0.0","","4.1","","0.0","","4.1","","","","31","","44",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-06","2025","04","06","","6.9","","0.0","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","","","33","","46",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-07","2025","04","07","","7.6","","-4.0","","1.8","","16.2","","0.0","","0.0","T","0.0","","0.0","T","","","30","","71",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-08","2025","04","08","","1.5","","-6.2","","-2.4","","20.4","","0.0","","0.0","","0.0","T","0.0","T","","","31","","68",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-09","2025","04","09","","6.8","","-7.4","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","","","25","","32",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-10","2025","04","10","","4.9","","-0.6","","2.2","","15.8","","0.0","","0.2","","2.6","","2.8","","0","T","10","","43",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-11","2025","04","11","","4.9","","1.1","","3.0","","15.0","","0.0","","0.0","","0.4","","0.4","","","","36","","32",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-12","2025","04","12","","10.5","","1.9","","6.2","","11.8","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-13","2025","04","13","","14.9","","-1.6","","6.7","","11.3","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-14","2025","04","14","","15.0","","5.3","","10.2","","7.8","","0.0","","1.1","","0.0","","1.1","","","","30","","39",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-15","2025","04","15","","10.2","","2.1","","6.2","","11.8","","0.0","","0.0","","0.0","T","0.0","T","","","28","","73",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-16","2025","04","16","","6.3","","-0.6","","2.9","","15.1","","0.0","","0.0","","0.0","","0.0","","","","30","","55",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-17","2025","04","17","","12.3","","-3.5","","4.4","","13.6","","0.0","","0.0","","0.0","","0.0","","","","15","","32",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-18","2025","04","18","","20.5","","5.3","","12.9","","5.1","","0.0","","2.2","","0.0","","2.2","","","","14","","55",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-19","2025","04","19","","22.5","","4.3","","13.4","","4.6","","0.0","","0.0","","0.0","","0.0","","","","25","","55",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-20","2025","04","20","","9.8","","2.4","","6.1","","11.9","","0.0","","0.0","","0.0","","0.0","","","","34","","43",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-21","2025","04","21","","13.0","","5.0","","9.0","","9.0","","0.0","","1.6","","0.0","","1.6","","","","27","","57",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-22","2025","04","22","","14.8","","5.7","","10.3","","7.7","","0.0","","0.0","","0.0","","0.0","","","","28","","63",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-23","2025","04","23","","15.7","","5.1","","10.4","","7.6","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-24","2025","04","24","","22.9","","6.5","","14.7","","3.3","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-25","2025","04","25","","18.0","","10.5","","14.3","","3.7","","0.0","","0.0","T","0.0","","0.0","T","","","10","","45",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-26","2025","04","26","","13.3","","6.2","","9.8","","8.2","","0.0","","0.2","","0.0","","0.2","","","","31","","69",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-27","2025","04","27","","19.0","","4.6","","11.8","","6.2","","0.0","","0.0","","0.0","","0.0","","","","32","","47",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-28","2025","04","28","","20.3","","5.2","","12.8","","5.2","","0.0","","0.0","","0.0","","0.0","","","","16","","37",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-29","2025","04","29","","27.2","","4.7","","16.0","","2.0","","0.0","","4.8","","0.0","","4.8","","","","28","","103",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-04-30","2025","04","30","","12.8","","2.0","","7.4","","10.6","","0.0","","0.0","","0.0","","0.0","","","","33","","39",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-01","2025","05","01","","10.3","","5.2","","7.8","","10.2","","0.0","","11.6","","0.0","","11.6","","","","12","","37",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-02","2025","05","02","","20.3","","7.4","","13.9","","4.1","","0.0","","0.0","","0.0","","0.0","","","","26","","62",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-03","2025","05","03","","11.0","","5.1","","8.1","","9.9","","0.0","","0.2","","0.0","","0.2","","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-04","2025","05","04","","14.7","","4.9","","9.8","","8.2","","0.0","","0.0","T","0.0","","0.0","T","","","10","","34",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-05","2025","05","05","","18.1","","12.4","","15.3","","2.7","","0.0","","1.3","","0.0","","1.3","","","","10","","52",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-06","2025","05","06","","20.3","","8.2","","14.3","","3.7","","0.0","","1.8","","0.0","","1.8","","","","14","","39",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-07","2025","05","07","","23.3","","7.2","","15.3","","2.7","","0.0","","0.0","","0.0","","0.0","","","","35","","46",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-08","2025","05","08","","13.6","","5.6","","9.6","","8.4","","0.0","","0.0","","0.0","","0.0","","","","1","","39",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-09","2025","05","09","","17.2","","3.7","","10.5","","7.5","","0.0","","0.0","","0.0","","0.0","","","","14","","35",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-10","2025","05","10","","23.0","","4.1","","13.6","","4.4","","0.0","","0.0","","0.0","","0.0","","","","34","","48",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-11","2025","05","11","","14.1","","5.1","","9.6","","8.4","","0.0","","0.0","","0.0","","0.0","","","","35","","39",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-12","2025","05","12","","25.2","","7.1","","16.2","","1.8","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-13","2025","05","13","","24.5","","13.2","","18.9","","0.0","","0.9","","1.3","","0.0","","1.3","","","","11","","37",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-14","2025","05","14","","20.9","","14.1","","17.5","","0.5","","0.0","","2.9","","0.0","","2.9","","","","10","","33",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-15","2025","05","15","","23.3","","13.6","","18.5","","0.0","","0.5","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-16","2025","05","16","","27.5","","14.0","","20.8","","0.0","","2.8","","15.1","","0.0","","15.1","","","","29","","49",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-17","2025","05","17","","20.5","","12.1","","16.3","","1.7","","0.0","","5.7","","0.0","","5.7","","","","26","","75",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-18","2025","05","18","","16.7","","9.8","","13.3","","4.7","","0.0","","0.0","","0.0","","0.0","","","","33","","49",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-19","2025","05","19","","14.2","","5.2","","9.7","","8.3","","0.0","","0.0","T","0.0","","0.0","T","","","34","","43",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-20","2025","05","20","","14.3","","3.2","","8.8","","9.2","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-21","2025","05","21","","10.3","","7.7","","9.0","","9.0","","0.0","","16.8","","0.0","","16.8","","","","7","","49",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-22","2025","05","22","","10.1","","7.3","","8.7","","9.3","","0.0","","11.8","","0.0","","11.8","","","","9","","41",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-23","2025","05","23","","13.0","","8.0","","10.5","","7.5","","0.0","","1.0","","0.0","","1.0","","","","27","","51",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-24","2025","05","24","","16.0","","6.7","","11.4","","6.6","","0.0","","0.0","T","0.0","","0.0","T","","","30","","53",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-25","2025","05","25","","18.6","","6.5","","12.6","","5.4","","0.0","","0.9","","0.0","","0.9","","","","2","","40",""
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-26","2025","05","26","","21.5","","7.1","","14.3","","3.7","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-27","2025","05","27","","21.3","","10.0","","15.7","","2.3","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2025-05-28","2025","05","28","","17.8","","9.9","","13.9","","4.1","","0.0","","7.0","","0.0","","7.0","","","","13","","34",""
